carbohydrates	47	D002241
Trichostatin A	47	C012589
S-1	47	5707
MMC	47	CHEBI:27504
GM-CSF	47	1437
Familial atypical multiple mole melanoma syndrome	47	D004416
lactate dehydrogenase	46	3939
hemoglobin	46	41930
dysplasias	46	D015792
creatinine	46	D003404
collagen type I	46	1277
cholecystokinin 8	46	885
celecoxib	46	C105934
caspase	46	31011
carbon	46	D002244
Sp1	46	431939
Peroxisome proliferator-activated receptor gamma	46	5468
PDAC	46	CHEBI:60595
TPA	45	5327
IL-10	45	3586
Hyperthermia	45	D005334
Actin	45	35526
tyrosine kinase	44	30256
matrix metalloproteinase-9	44	406397
human positive cofactor 4	44	10923
dCK	44	3853
cyclin D1	44	12443
subcutaneous tumor	43	D013352
pancreatic exocrine insufficiency	43	D010188
laminin	43	43946
hand-foot syndrome	43	D060831
c-MET	43	4233
ascorbic acid	43	D001205
aggressive cancer	43	C537243
PEG	43	CHEBI:46793
LY294002	43	C085911
IkappaBalpha	43	4792
Gross Tumor	43	C536704
CRT	43	811
transforming growth factor beta	42	359834
transcription factor	42	861
stage small cell lung cancer	42	D055752
retroperitoneal sarcoma	42	D012186
prostaglandin E2	42	D015232
primary and abdominal metastatic tumor	42	D000008
positron emission tomography-computed tomography	42	D014012
inflammatory related disorders	42	D009220
inflammatory bowel disease	42	D015212
gefitinib	42	C419708
diabetes, insulinomas	42	D007340
cholestatic syndrome	42	D041781
caspase	42	37729
carboplatin	42	D016190
SPINK1	42	6690
Paca-2	42	256297
JAK\/STAT3\/NF-kappaB	42	5970
IGF-I	42	3479
HER3	42	2065
BrdU	42	D001973
thymidylate synthase	41	D020159
synergistic antitumor effects	41	D007088
retinol	41	D014801
retinoblastoma	41	D012175
precancerous lesions	41	D011230
human equilibrative nucleoside transporter 1	41	33207
cyclophosphamide	41	D003520
c-Jun	41	3725
RNase	41	6035
PALB2	41	79728
EGF receptor	41	2015
DPC4	41	17128
Cox	41	1371
CA125	41	94025
uPA	40	5328
matrix metalloproteinase-2	40	4313
lymphadenopathy	40	D008206
hepatocyte growth factor	40	103527864
cardiovascular diseases	40	D002318
cAMP	40	CHEBI:17489
ZEB1	40	6935
SPAN-1	40	30014
Panc 1\/VEGF	40	32876
PCA	40	28982
HDAC	40	9734
CP	40	84702
CD24	40	100133941
Bcl-xL	40	12048
AKT\/beta-catenin	40	12387
pancreatico-duodenal cancer	39	D004379
hematological and non-hematological toxicities	39	D006402
aldehyde	39	CHEBI:17478
alanine	39	CHEBI:16449
TS	39	C536962
Poly(ethylene glycol)	39	D011092
EPA	39	7076
Duodenal ischemia	39	D004382
Cdk4	39	1019
CRP	39	751795
stomatitis	38	D013280
sorafenib	38	C471405
secretin	38	D012633
nicotine	38	D009538
neuroblastoma	38	D009447
malignant mesothelioma	38	D008654
leucine	38	CHEBI:25017
healthy controls	38	D007174
decreased cell viability	38	D012021
cyclopamine	38	C000541
cyclin D1	38	30222
TNFalpha	38	100137625
SDF-1	38	6387
Partial response	38	55831
MiaPaCa-2	38	338320
MDR protein gene	38	5243
FGFR1	38	2260
CCK2R	38	887
Androgen	38	CHEBI:50113
vascular endothelial growth factor receptor-2	37	16542
vascular endothelial growth factor	37	30682
type 2 diabetes mellitus	37	D003924
streptozotocin	37	D013311
green fluorescence protein	37	645
endocrine tumors	37	D004700
diabetes diagnosis	37	D001523
Intraductal Papillary	37	D002285
Ink4a\/Arf	37	12578
IFN	37	3439
Genistein	37	D019833
Gem	37	403310
CEA	37	5670
CA	37	43518
Beta-Carotene	37	D019207
testicular cancer	36	D013736
taxanes	36	D043823
polyacrylamide	36	CHEBI:51135
hepatitis B virus	36	D006509
caspase-8	36	58022
caspase-3	36	42008
arterial infiltration of the coeliac artery	36	D002539
TRAILR1	36	8797
RFS	36	D005198
PaC	36	819424
PI3K	36	42446
PAC	36	C537560
MMP2	36	35997
MDM2	36	4193
LNR	36	42549
CDK	36	36854
tamoxifen	35	D013629
retinoids	35	D012176
pneumonia	35	D011014
lectin	35	7354375
iron	35	D007501
hyperinsulinemia	35	D006946
gastrointestinal stromal tumour	35	D046152
autoimmune disease	35	D001327
anergy of T	35	D015458
MAP	35	C535477
Lynch syndrome	35	D003123
HGF	35	395941
ECM	35	22915
stable disease	34	D060050
nucleotides	34	D009711
nitrosamine	34	CHEBI:35803
malignant disease of the extrahepatic biliary tract	34	D001660
hematoxylin	34	D006416
ganciclovir	34	D015774
fatal disease	34	D034062
dihydropyrimidine dehydrogenase	34	1806
digestive cancers	34	D004067
bile duct carcinoma	34	D001649
annual hospital volume	34	D003428
TPA	34	CHEBI:61432
T3M4	34	839848
STAT3	34	30767
RRM1	34	6240
NOTCH1	34	4851
MUC2	34	4583
ICAM-1	34	3383
FITC	34	D016650
FAK	34	5747
DR5	34	8795
thymidylate synthase	33	33499
systematic disorders	33	D009358
morphine	33	D009020
eosin	33	D004801
distal pancreatectomy	33	D049310
cytochrome c	33	34996
azaserine	33	CHEBI:74846
TGFBR2	33	7048
STI-571	33	C097613
Resveratrol	33	C059514
Pdx1-Cre	33	30721
NH2	33	CHEBI:29345
G12D	33	67023
CHK1	33	1111
BxPC-3	33	10120
Artificial nutrition	33	D044342
protein kinase C	32	54101
pro-apoptotic	32	578
methotrexate	32	D008727
histone deacetylase	32	38565
cancer of the papilla of Vater	32	C536534
animal tumors	32	D000820
acute myeloid leukemia	32	D015470
SSTR2	32	6752
PKC	32	112476
Mesothelin	32	10232
MMP1	32	4312
HIF-1	32	180359
H-RAS	32	3265
Comparison of cytotoxic T	32	D001929
CCK-A	32	378611
24.1-fold	32	11898
vivo cancer	31	C536830
uracil	31	D014498
sodium dodecyl sulphate	31	CHEBI:8984
pancreas head resection and 15	31	D000544
ovarian carcinoma	31	D010049
lipase	31	291437
human telomerase reverse transcriptase	31	7015
fibroblast growth factor	31	42356
deoxycytidine kinase	31	1633
biotin	31	D001710
ROS	31	30442
PCR	31	6481376
N-cadherin	31	1000
Metastatic Carcinoma	31	C538445
Glycine	31	CHEBI:57305
E-cadherin mRNA	31	394290
Collagen	31	33727
Caspase-9	31	12371
CD34	31	947
CCNE1	31	898
CAII	31	760
Anderson Cancer	31	C535460
tumorigenesis	30	D002471
testosterone	30	D013739
skin cancer	30	D012878
reverse transcriptase	30	17276
renin-angiotensin system	30	D012595
nuclear factor-kappaB	30	106056974
myeloid cell leukemia	30	D007951
mesenchymal to epithelial transition	30	D008579
lung adenocarcinoma	30	C538231
hepatocyte growth factor	30	493781
cystadenocarcinoma of the pancreas	30	D003536
cholecystitis	30	D002764
beta1-integrin	30	44885
Transforming growth factor ( TGF ) - beta	30	101074275
TSA	30	CHEBI:46024
Serine protease	30	2147
SERPINA1	30	5265
Kirsten rat sarcoma	30	D011906
FPC	30	241035
CXCR-2	30	3579
CIs	30	83681
ABC transporter	30	9429
visual analog pain scale	29	D010146
sulphate	29	CHEBI:16189
pyruvate	29	D019289
p53-expressing	29	17252
oncogene	29	368883
haptoglobin	29	3240
cytosine	29	D003596
caerulein	29	D002108
breast, ampullary carcinoma	29	D058922
autosomal dominant condition	29	D009135
arachidonic acid	29	D016718
anti-tubulin	29	11467927
alpha-SMA	29	6606
adenosquamous carcinoma of the pancreas	29	D018196
XIAP	29	733235
Vitamin E	29	D014810
Vascular endothelial growth factor	29	22339
Thymidylate synthase	29	22171
SMAD3	29	4088
RhoA	29	36775
Primary infection	29	D007239
PKC	29	C537180
Metabolic tumor	29	D008659
MMP7	29	4316
MCF-7	29	557201
IL-4	29	3565
Cdk1	29	983
CFTR	29	100381094
BxPC-3	29	57332
Alpha-Tocopherol	29	D024502
sclerosing cholangitis	28	D015209
reverse transcriptase	28	20468491
lysine	28	CHEBI:25094
insulin\/IGF receptor	28	3643
glucagon-like peptide 1	28	2641
fibronectin promoter	28	40848
dUTP	28	CHEBI:17625
cyclooxygenase	28	5742
celiac plexus block	28	D006327
carcinoma of lung	28	D018827
camptothecin	28	D002166
bombesin	28	D001839
Venous thrombosis	28	D019851
Triptolide	28	C001899
SLC2A1	28	6513
PAR-2	28	2150
MEK/ERK1/2	28	5605
L-arginine	28	CHEBI:16467
KGFR	28	2263
GEM	28	394149
Computed tomography pulmonary angiography	28	D008171
CA19-9	28	3648225
BRCA1\/2	28	675
APC	28	399455
AKT\/PI3K	28	560549
synchronous peripheral venous thromboembolism	27	D054556
sunitinib	27	C473478
proteasomal degradation of Ikaros	27	D055959
phosphate	27	CHEBI:26020
no biliary drainage	27	D001656
interstitial fibrosis and tubular atrophy	27	D001284
farnesyl	27	CHEBI:24017
eicosapentaenoic acid	27	D015118
cardiac dysfunction	27	D006331
aspartic acid	27	CHEBI:22660
SMAD4 gene	27	58531
Primary Sclerosing Cholangitis	27	C536419
PDA	27	64714
N-acetylneuraminic acid	27	D019158
Ifosfamide	27	D007069
E-cadherin	27	12550
Drosophila tumor suppressor gene	27	57509
DMBA	27	D015127
Cytidine	27	D003562
CD133 initiates tumors	27	D007319
CCK ) receptor	27	886
AKT kinase	27	208
testicular germ cell tumors	26	D009373
spheroid formation, aldehyde dehydrogenase 1	26	D016111
serous tumors	26	D018293
p65-NFkappaB	26	19697
glutamine	26	CHEBI:28300
gastric acidity	26	D005764
desmoplastic stroma	26	D018220
cytidine deaminase	26	978
cyclin B1	26	891
choledocholithiasis	26	D042883
chemokine	26	395552
caveolin-mediated endocytosis	26	D006969
bladder carcinoma	26	D001745
ataxia-telangiectasia	26	D001260
XIAP	26	D008232
Sulforaphane	26	C016766
Smad2	26	4087
S100A4	26	6275
Paraoxonase-1	26	5444
PIK3CA	26	5290
MTD	26	4493
GSH	26	CHEBI:16856
G12D	26	100132399
Fas	26	768248
ERBB	26	13649
CA242	26	5728632
Bisulfite	26	C042345
thymidine phosphorylase	25	1890
papillary carcinoma	25	D002291
osteosarcoma	25	D012516
kinase	25	266749
iron oxide	25	C000499
gastritis	25	D005756
extracellular	25	542830
dexamethasone	25	D003907
cystadenoma	25	D003537
cyclooxygenase-2	25	19225
chronic hepatitis	25	D006521
acute myocardial infarction	25	D009203
TNM	25	10178
K-ras gene	25	16653
HLA-A	25	3105
DU-PAN-2	25	3772330
DDR	25	780
Cyclin A	25	890
CPT-11	25	56994
CD15	25	2526
BD	25	D001528
withaferin A	24	D006506
wild-type RNF43	24	374569
uPAR	24	5329
time to progression	24	D000377
surgical trauma	24	D016063
sinistral portal hypertension	24	D006975
retinoid	24	CHEBI:26537
quercetin	24	D011794
polyunsaturated fatty acids	24	D005231
papillary serous ovarian adenocarcinoma	24	D000231
pN1	24	51251
neurotensin	24	D009496
hydrogen peroxide	24	D006861
epithelial cell adhesion molecule	24	4072
disseminated intravascular coagulation	24	D004211
carbohydrate antigen 19-9	24	104545411
c-Src	24	6714
basal cell carcinoma	24	D002280
atherosclerosis	24	D050197
WST-8	24	13628
Tumoral Intraepithelial Neoplasms of Pancreatobiliary Tract	24	D002278
TSase	24	7298
Smo	24	100190780
S100P	24	6286
PaCa-44	24	1286
PEG-TRAIL	24	22035
PDGF	24	5154
MD	24	C535955
MAb	24	47848
JPS	24	C537702
HLA-A2	24	3133
ERP	24	2004
EGFR-lytic peptide	24	24329
DNMT1	24	1786
DCs	24	28960
Bad	24	58100
AMP	24	D000249
thiol	23	CHEBI:29256
splenic vein thrombosis	23	D012170
serum albumin	23	104576335
protein kinase B	23	2185
methyl	23	CHEBI:32875
iodine	23	D007455
interferon	23	396398
histone	23	43229
flavonoids	23	D005419
fibrosarcoma	23	D005354
cytotoxic T-lymphocyte antigen-4	23	1493
cyclin-dependent kinase	23	80973
combined immunodeficiency	23	D016511
capillary ischemia	23	D007511
aspartate	23	CHEBI:29995
arterial infiltration	23	C535944
annual percent increase	23	D019586
TWIST1	23	7291
PA	23	C535377
NGF	23	58133
MIA	23	569807
Interstitial pneumonitis	23	D017563
IgM	23	973
IL-1b	23	3553
IGFBP3	23	3486
IFN-gamma	23	15978
EZH2	23	2146
DPD	23	D054067
Collagen I	23	1278
CD18	23	3689
Asn	23	CHEBI:17196
25-hydroxyvitamin D	23	C104450
uterine cancer	22	D014594
urokinase-type plasminogen activator	22	104571145
tumor vasculature	22	D054514
trypan blue	22	D014343
tissue factor	22	100765608
prostate carcinomas	22	D053448
oral diseases	22	D009062
leptomeningeal carcinomatosis	22	D055756
hyperbilirubinemia	22	D006932
gastroduodenal artery	22	D010437
gadolinium	22	D005682
forskolin	22	D005576
flavonoid	22	CHEBI:47916
everolimus	22	C107135
epidermal growth factor	22	13645
cholestasis	22	D002779
ceramide	22	CHEBI:17761
cancer involvement of hepatic artery underwent preoperative hepatic arterial embolization	22	D008113
anti-EpCAM	22	171577
alpha-fetoprotein	22	174
Vapreotide	22	C051458
TSA	22	7001
T3 or T4 cancers	22	D005067
SIRT1	22	23411
SB203580	22	C093642
PTEN	22	368415
PK	22	51776
PEG-PLA	22	5047
NADH	22	D009243
LKB1	22	6794
Immunoglobulin	22	80739
HSP27	22	3316
Fecal elastase 1	22	23436
COOH	22	CHEBI:46883
CD95\/APO1	22	355
CD166-positive	22	100323605
ATM	22	398148
vimentin	21	386601
trypsin	21	101895007
stemness	21	D020295
signal transducer and activator of transcription 3	21	20848
red fluorescence protein	21	100346952
quinone	21	C004532
phosphoinositide 3-kinase	21	5293
neuropilin 1-binding	21	8829
methionine	21	D008715
hyperplastic	21	D000796
glutathione peroxidase	21	38413
esophageal squmaous cell carcinoma	21	D004941
epithelial-mesenchymal transition	21	10447
cyclin-dependent kinase 6	21	1021
common bile duct	21	D003137
bicarbonate	21	CHEBI:17544
Signal transducer and activator of transcription 3	21	102884374
PTEN	21	43991
PT	21	D006526
PKA	21	40305
NT-PD	21	4922
JAK\/STAT	21	32080
Helicobacter pylori infection	21	D016481
Hedgehog-secreted	21	42737
GLI-binding site	21	55655
EPC	21	21412
DP-CAR	21	1525
CK19	21	3880
CD4	21	492885
Alimentary Tract consensus guidelines defined LA and borderline	21	D012569
Ad5 wild-type	21	3676
wortmannin	20	C009687
worsening dyspnea	20	D004417
tumor necrosis factor-alpha gene	20	21926
tumor deposits	20	D058225
transferrin	20	7018
thymidylate	20	CHEBI:17013
thrombospondin-1	20	7057
ribonucleotide reductase	20	36280
pyrimidine	20	C030986
proline	20	CHEBI:26271
p27 Kip1	20	1027
nucleoside transporter 1	20	9154
nuclear factor	20	831124
nitrosamines	20	D009602
nitrogen	20	D009584
n3PUFA	20	D015525
lapatinib	20	C490728
inherent poor prognosis	20	D009123
hypoglycemia	20	D007003
histone H3	20	8355
heavy alcohol consumption	20	D014397
heart failure	20	D006333
gastrin17	20	25320
fibronectin	20	397744
ferritin	20	399281
edema	20	D004487
disulfide	20	CHEBI:48343
delayed-type hypersensitivity	20	D006968
cytosine arabinoside	20	D003561
cytokeratin 20	20	54474
collagen C-peptide	20	4880
c-Jun N-terminal kinase	20	5601
antidiabetic drug	20	D019966
antiapoptotic transcription factor CUX1	20	9220
aldehyde dehydrogenase	20	34256
[weighted mean difference	20	D015431
TTP	20	D011697
TNF	20	114461
T factor	20	43769
Snail1	20	6615
RNA	20	7152660
POU5F1	20	5460
PL45	20	5406
PARP-1	20	3355109
NGAL	20	3934
Mek1	20	5604
MG-132	20	C072553
HER2	20	13866
FLICE-like inhibitory protein	20	8837
FAK	20	37233
EpCAM	20	17075
Dipeptidyl-peptidase-4	20	1803
Complete tumor extirpation	20	D001766
CA	20	56735
Bcl-2 protein	20	7159
ADM	20	250086
tissue factor	19	104563679
systemic antitumor immunity	19	D007154
proteases	19	105213905
prognostic impact	19	D014095
mitoxantrone	19	D008942
heparin-binding growth factor	19	2246
farnesyl transferase	19	2339
diarrhoea	19	C538206
cytokeratin 7	19	3855
cytokeratin	19	3848
cholelithiasis	19	D002769
caveolin-1	19	399006
caffeine	19	D002110
benign tumors	19	D019574
atypical hyperplasias	19	D004714
TS-1	19	110291
TGFbetaR2	19	21813
Src	19	48973
SOX2	19	6657
PI-3K	19	18706
PDGFRalpha\/beta	19	5159
NAD ( P ) H : quinone oxidoreductase 1	19	1728
N-nitroso-bis (2-hydroxypropyl) amine	19	C012457
Hoechst 33342	19	C017807
Fibroblast growth factor receptor	19	42160
End	19	2022
EPA	19	CHEBI:28364
DHA	19	CHEBI:16016
Cys	19	CHEBI:17561
Cyclic AMP	19	D000242
CD31	19	5175
Bax protein	19	373637
BOP	19	12180
ABO	19	563897
triglycerides	18	D014280
topoisomerase I	18	7150
somatostatin	18	398676
small-intestinal cancer	18	D007414
rheumatoid arthritis	18	D001172
recombinant protein	18	16656
pyruvate kinase isoform M2	18	5315
paraneoplastic	18	D010257
pancreoduodenal fistula	18	D005402
p53 protein	18	58476
p-MAPK	18	5596
neuroendocrine carcinoma	18	D018278
mucinous cystadenoma	18	D018291
medulloblastoma	18	D008527
mAb	18	20249
leptin	18	3952
integrin alphavbeta3\/alphavbeta5	18	3685
gamma-glutamyltransferase	18	2678
fibrinogen	18	380021
chronic lymphocytic leukaemia	18	D015451
cholecystokinin	18	25298
chloroquine	18	D002738
cathepsin B	18	1508
anti-CD3	18	11905
angiotensin II	18	183
angiogenesis enhancement	18	D016510
actin	18	31521
VHL	18	D006623
TbetaRI	18	21812
TGFBR1	18	7046
T3 tumors	18	C537047
Sst2	18	20606
RFP	18	54484
RET	18	30512
Ptch1	18	5727
Poly-ADP ribose Polymerase	18	11545
Pdx-1/Cre	18	100337610
PK-1	18	84432
PAP	18	D049912
NK4	18	9235
MEK\/ERK	18	17242
LC3-II	18	440738
JNK	18	44801
IL-12	18	445410
HIV	18	D015658
HH	18	3077
HDAC1	18	3065
Forkhead box M1	18	2305
FLT	18	2321
EGCG	18	CHEBI:4806
Chk2	18	11200
CD31	18	18613
BH3	18	C006008
Akt-estrogen receptor	18	259252
AFP	18	422652
12-O-tetradecanoylphorbol-13-acetate	18	C554292|MESH:D013755
valine	17	CHEBI:27266
tipifarnib	17	C402769
tetracycline	17	D013752
taxane	17	C080625
polyphenol	17	CHEBI:26195
polyamine	17	CHEBI:60143
papillary and follicular thyroid cancers	17	C536915
ornithine	17	CHEBI:18257
neuraminidase	17	129807
matrix metalloproteinase 9	17	17395
lysophosphatidic acid	17	C032881
intraepithelial neoplasia	17	D018290
inferior vena cava	17	D013479
immunoglobulin G4	17	28401
hypercalcemia	17	D006934
gastric ulcer	17	D013276
farnesyltransferase	17	5849558
diarrhea, fatigue and sensory neuropathy	17	D005221
despite the syndrome	17	D013577
cycloheximide	17	D003513
copper	17	D003300
bone morphogenetic protein	17	37778
attenuating tumor	17	C537877
amino	17	CHEBI:46882
alanine aminotransferase	17	3873734
